pk_debito,situacao,moeda
1,Para homologação/prazo de defesa,Real
2,Quitado. Baixa automática,Real
3,Baixado c/base na IN 23/01.IN/IBDF 01/80,Cruzeiro (70 a 86)
4,Notificado e aguardando pagamento,Real
5,Quitado. Baixa manual,Real
6,Cancelado,Real
7,Parcelado pela 1ª vez,Real
8,Baixado c/base na IN 8/99(Port.267/88),Real
9,Para homologação/prazo de defesa,Cruzado
10,Baixado c/base na IN 23/01.IN/IBDF 01/80,Cruzado
11,Baixado c/base na IN 8/99(Port.267/88),Cruzeiro (90 a 93)
12,Em cobrança judicial,Real
13,Excluído devido a duplicidade de lançamento,Real
14,Baixado por determinação judicial,Real
15,Baixado por prescrição intercorrente durante anál. jurídica,Real
16,Baixado - Defesa deferida,Real
17,"Baixado por prescrição da pret. punit. (Lei 9873/99,art.1º)",Real
18,"Para nova homologação, devido a alterações",Real
19,Excluído,Real
20,Inscrito em divida ativa no SIAFI,Real
21,Ajuizado,Real
22,Exigibilidade suspensa por dec. judic. sem depósito / TAC,Real
23,Análise admis/mérito do recurso,Real
24,Baixado c/base na IN 8/99(Port.267/88),Cruzeiro Real
25,Excluído devido a duplicidade de lançamento,UFIR
26,Baixado c/base na IN 8/99(Port.267/88),UFIR
27,Notificado para ciência da autuação,Real
28,Inscrito na dívida ativa,Real
29,Quitado. Cancelado o saldo devedor,Real
30,"Baixado por prescrição da ação execut. (Lei 9873/99,art.2º)",Real
31,Aguardando pagamento ou notificação,Real
32,Baixado - Recurso deferido,Real
33,Análise admis/mérito de impugnação/defesa,Real
34,Edital publicado,Real
35,Rescisão de Parcelamento judicial,Real
36,Parcelado pela 3ª vez,Real
37,Quitado. Adjudicação de bem,Real
38,Parcelado pela 2ª vez,Real
39,Análise do pedido p/prestação de serviço,Real
40,Deferimento de parcelamento extra judicial,Real
41,Substituição de multa por advertência,Real
42,"Homologado, por pagamento (AI sem defesa)",Real
43,Rescisão de parcelamento extra judicial,Real
44,Baixado c/base no Dec. 3179/99. PS FORMA DIRETA,Real
45,Quitado. Baixa manual efetuada pela CGARR,Real
46,Para homologação do debito de reincidência,Real
47,"Quitado p/pagto à vista (Leis 12249,12865,12973,12996,13043)",Real
48,Exigibilidade suspensa - adesão ao Pro. Reg. Ambiental (PRA),Real
49,Processo suspenso por dec. Judicial,Real
50,Parcelamento judicial,Real
51,Parcelamento extra judicial,Real
52,Notificado e aguardando pagamento/recurso,Real
53,Análise do pedido p/recuperação ambiental,Real
54,Enviado à DIJUR p/inscrição na dívida ativa,Real
55,Baixado c/base no Dec. 3179/99. P. Serviço,Real
56,Exigibidade suspensa - adesão ao Cad. Ambiental Rural (CAR),Real
57,Substituído na homologação por outro AI,Real
58,Baixado presc. - aguard.lim.Port.AGU 377/11-Port.PGF 916/11,Real
59,"Baixado por prescrição da pret. punit. (Lei 9873/99,art.1º)",Cruzeiro (90 a 93)
60,Excluído devido a duplicidade de lançamento,Cruzeiro (90 a 93)
61,Baixado por adesão a conversão de multa,Real
62,Quitado. Baixa automática,Cruzeiro Real
63,Adesão conversão de multa 60%,Real
64,Adesão deferida: exigibilidade suspensa(PRD),Real
65,"AI notificado, via edital, p/alegações finais",Real
66,Parcelamento Judicial/Extrajudicial Cancelado,Real
67,Cancelado por falecimento ocorrido antes da const. do créd.,Real
68,Cancelado na homologação (AI sem defesa),Real
69,Pedido de adequação do valor do débito,Real
70,Baixado - Defesa deferida,Cruzeiro (90 a 93)
71,Quitado. Baixa automática,Cruzado
72,Quitado por conversão de renda,Real
